IndexSymbol,TradingDate,Ret
000300,2016-07-29,-0.0053428289363393056
000300,2016-08-01,-0.008464604407711795
000300,2016-08-02,0.0038529216415210676
000300,2016-08-03,0.0013985356140544525
000300,2016-08-04,0.0024361908996684
000300,2016-08-05,0.0011932689634490679
000300,2016-08-08,0.009069891516983786
000300,2016-08-09,0.007049700387733671
000300,2016-08-10,-0.004187928694680321
000300,2016-08-11,-0.003077074867266494
000300,2016-08-12,0.018825617933047933
000300,2016-08-15,0.030110223026321714
000300,2016-08-16,-0.004470416276205147
000300,2016-08-17,-0.0015392584918226815
000300,2016-08-18,-0.002537762559108314
000300,2016-08-19,0.0001575275896199546
000300,2016-08-22,-0.008389251772649153
000300,2016-08-23,0.001510433680273593
000300,2016-08-24,-0.0035818698138444516
000300,2016-08-25,-0.006273537025580755
